sheet,V_V,I_original,I_original_unit,I_A
uA,0.0,8.0,uA,8e-06
uA,0.5,18.6,uA,1.86e-05
uA,1.0,30.8,uA,3.0799999999999996e-05
uA,1.5,44.0,uA,4.4e-05
uA,2.0,58.6,uA,5.86e-05
uA,2.5,74.2,uA,7.42e-05
uA,3.0,90.6,uA,9.059999999999999e-05
uA,3.5,107.8,uA,0.00010779999999999999
uA,4.0,126.2,uA,0.0001262
uA,4.5,146.2,uA,0.00014619999999999998
uA,5.0,167.6,uA,0.00016759999999999998
uA,5.5,190.3,uA,0.0001903
uA,6.0,214.0,uA,0.000214
uA,6.5,238.6,uA,0.00023859999999999997
uA,7.0,263.8,uA,0.0002638
uA,7.5,289.8,uA,0.0002898
uA,8.0,316.6,uA,0.0003166
uA,8.5,344.7,uA,0.0003447
uA,9.0,374.2,uA,0.0003742
uA,9.5,405.0,uA,0.000405
uA,10.0,436.0,uA,0.00043599999999999997
uA,10.5,466.0,uA,0.000466
uA,11.0,496.0,uA,0.000496
uA,11.5,524.0,uA,0.0005239999999999999
uA,12.0,552.0,uA,0.000552
uA,12.5,579.0,uA,0.000579
uA,13.0,608.0,uA,0.0006079999999999999
uA,13.5,637.0,uA,0.000637
uA,14.0,667.0,uA,0.000667
uA,14.5,696.0,uA,0.000696
uA,15.0,727.0,uA,0.000727
uA,15.5,757.0,uA,0.000757
uA,16.0,788.0,uA,0.000788
uA,16.5,820.0,uA,0.00082
uA,17.0,855.0,uA,0.000855
uA,17.5,890.0,uA,0.00089
uA,18.0,927.0,uA,0.000927
uA,18.5,965.0,uA,0.0009649999999999999
uA,19.0,1003.0,uA,0.001003
uA,19.5,1041.0,uA,0.001041
uA,20.0,1080.0,uA,0.00108
mA,21.0,1.158,mA,0.001158
mA,22.0,1.241,mA,0.0012410000000000001
mA,23.0,1.325,mA,0.001325
mA,24.0,1.41,mA,0.00141
mA,25.0,1.496,mA,0.001496
mA,26.0,1.583,mA,0.001583
mA,27.0,1.669,mA,0.0016690000000000001
mA,28.0,1.751,mA,0.001751
mA,29.0,1.835,mA,0.001835
mA,30.0,1.916,mA,0.001916
mA,31.0,1.995,mA,0.0019950000000000002
mA,32.0,2.07,mA,0.00207
mA,33.0,2.143,mA,0.002143
mA,34.0,2.19,mA,0.00219
mA,35.0,2.26,mA,0.00226
mA,36.0,2.32,mA,0.00232
mA,37.0,2.38,mA,0.0023799999999999997
mA,38.0,2.43,mA,0.0024300000000000003
mA,39.0,2.49,mA,0.0024900000000000005
mA,40.0,2.53,mA,0.0025299999999999997
