polarizacion,V_d_V,I_d_mA,T_K
directa,0.0,0.0,297.15
directa,0.256,5e-06,297.15
directa,0.453,5.800000000000001e-05,297.15
directa,0.52,0.000242,297.15
directa,0.552,0.000456,297.15
directa,0.573,0.0006860000000000001,297.15
directa,0.588,0.000921,297.15
directa,0.599,0.00116,297.15
directa,0.607,0.0014010000000000001,297.15
directa,0.615,0.0016330000000000001,297.15
directa,0.622,0.001875,297.15
directa,0.629,0.002115,297.15
directa,0.633,0.002366,297.15
directa,0.638,0.0026070000000000004,297.15
directa,0.642,0.0028580000000000003,297.15
directa,0.645,0.003095,297.15
directa,0.649,0.003343,297.15
directa,0.653,0.003598,297.15
directa,0.657,0.0038420000000000004,297.15
directa,0.66,0.004085,297.15
directa,0.663,0.004328,297.15
directa,0.666,0.004568,297.15
directa,0.667,0.004824,297.15
directa,0.669,0.005073,297.15
directa,0.671,0.0053170000000000005,297.15
directa,0.674,0.005557,297.15
directa,0.677,0.00581,297.15
directa,0.679,0.006055,297.15
directa,0.681,0.006304000000000001,297.15
directa,0.682,0.006553,297.15
directa,0.684,0.006802,297.15
directa,0.685,0.007046,297.15
directa,0.686,0.0073,297.15
directa,0.688,0.0075439999999999995,297.15
directa,0.69,0.007802,297.15
directa,0.69,0.008047,297.15
directa,0.691,0.008283,297.15
directa,0.696,0.008541,297.15
directa,0.699,0.008768000000000001,297.15
directa,0.695,0.009026,297.15
directa,0.696,0.009297000000000001,297.15
directa,0.697,0.009519999999999999,297.15
directa,0.698,0.009774,297.15
directa,0.699,0.010033,297.15
directa,0.7,0.010273,297.15
directa,0.702,0.010522,297.15
directa,0.703,0.010772,297.15
directa,0.704,0.011026,297.15
directa,0.705,0.011267,297.15
directa,0.705,0.011509,297.15
directa,0.708,0.011767,297.15
directa,0.709,0.012010999999999999,297.15
directa,0.71,0.012256000000000001,297.15
directa,0.709,0.012496,297.15
directa,0.709,0.012749000000000002,297.15
directa,0.71,0.012999,297.15
directa,0.711,0.013249,297.15
directa,0.712,0.013491,297.15
directa,0.713,0.013736000000000002,297.15
directa,0.712,0.013999000000000001,297.15
directa,0.713,0.014254,297.15
inversa,-0.0,-0.0,297.15
inversa,-0.257,-0.0,297.15
inversa,-0.507,-0.0,297.15
inversa,-0.751,-0.0,297.15
inversa,-1.02,-0.0,297.15
inversa,-1.267,-1.0000000000000001e-07,297.15
inversa,-1.52,-2.0000000000000002e-07,297.15
inversa,-1.771,-2.0000000000000002e-07,297.15
inversa,-2.012,-1.0000000000000001e-07,297.15
inversa,-2.266,-1.0000000000000001e-07,297.15
inversa,-2.527,-3e-07,297.15
inversa,-2.764,-3e-07,297.15
inversa,-3.028,-2.0000000000000002e-07,297.15
inversa,-3.273,-1.0000000000000001e-07,297.15
inversa,-3.541,-2.0000000000000002e-07,297.15
inversa,-3.797,-2.0000000000000002e-07,297.15
inversa,-4.04,-5e-07,297.15
inversa,-4.28,-5e-07,297.15
inversa,-4.52,-5e-07,297.15
inversa,-4.78,-6e-07,297.15
inversa,-5.03,-5e-07,297.15
inversa,-5.29,-5e-07,297.15
inversa,-5.52,-6e-07,297.15
inversa,-5.77,-5e-07,297.15
inversa,-6.04,-5e-07,297.15
inversa,-6.3,-5e-07,297.15
inversa,-6.52,-5e-07,297.15
inversa,-6.76,-5e-07,297.15
inversa,-7.04,-5e-07,297.15
inversa,-7.29,-5e-07,297.15
inversa,-7.53,-5e-07,297.15
inversa,-7.79,-7e-07,297.15
inversa,-8.1,-6e-07,297.15
inversa,-8.31,-6e-07,297.15
inversa,-8.56,-9e-07,297.15
inversa,-8.8,-9e-07,297.15
inversa,-9.06,-1e-06,297.15
inversa,-9.31,-9e-07,297.15
inversa,-9.56,-9e-07,297.15
inversa,-9.8,-9e-07,297.15
inversa,-10.06,-1e-06,297.15
inversa,-10.3,-1e-06,297.15
inversa,-10.55,-1e-06,297.15
inversa,-10.81,-1e-06,297.15
inversa,-11.07,-1e-06,297.15
inversa,-11.32,-1.2e-06,297.15
inversa,-11.57,-1.1e-06,297.15
inversa,-11.8,-1e-06,297.15
inversa,-12.06,-1e-06,297.15
inversa,-12.32,-1.2e-06,297.15
inversa,-12.55,-1e-06,297.15
inversa,-12.82,-1.2e-06,297.15
inversa,-13.08,-1.3e-06,297.15
inversa,-13.31,-1.1e-06,297.15
inversa,-13.58,-1.3e-06,297.15
inversa,-13.82,-1.2e-06,297.15
inversa,-14.08,-1.3e-06,297.15
inversa,-14.34,-1.2e-06,297.15
inversa,-14.54,-1.4e-06,297.15
inversa,-14.8,-1.4e-06,297.15
inversa,-15.06,-1.4e-06,297.15
