V_filamento_V,Vc_V,Va_mV,Vrb_mV,hoja_origen
2,0,0,0,Sheet1
2,0.1,0,0,Sheet1
2,0.2,0,0,Sheet1
2,0.3,0,1,Sheet1
2,0.4,0,0.5,Sheet1
2,0.5,0,0.7,Sheet1
2,0.6,0,0.9,Sheet1
2,0.7,0,3.2,Sheet1
2,0.8,0,4.6,Sheet1
2,0.9,0.1,6.3,Sheet1
2,1,0.6,7.9,Sheet1
2,1.1,1.7,10,Sheet1
2,1.2,3.3,12.1,Sheet1
2,1.3,5.5,14.4,Sheet1
2,1.4,8.5,16.8,Sheet1
2,1.5,11.3,19.3,Sheet1
2,1.6,13.8,21.9,Sheet1
2,1.7,15.7,24.5,Sheet1
2,1.8,17.1,27.2,Sheet1
2,1.9,18,30,Sheet1
2,2,18.6,32.8,Sheet1
2,2.1,18.8,35.7,Sheet1
2,2.2,18.9,38.6,Sheet1
2,2.3,18.7,41.5,Sheet1
2,2.4,18.4,44.4,Sheet1
2,2.5,18,47.3,Sheet1
2,2.6,17.6,50.4,Sheet1
2,2.7,17,53.2,Sheet1
2,2.8,16.4,56.1,Sheet1
2,2.9,15.8,59,Sheet1
2,3,15.3,61.9,Sheet1
2,3.1,14.6,64.7,Sheet1
2,3.2,13.6,67.5,Sheet1
2,3.3,13.2,70.2,Sheet1
2,3.4,12.8,72.9,Sheet1
2,3.5,12.5,75.7,Sheet1
2,3.6,11.9,78.4,Sheet1
2,3.7,11.5,81,Sheet1
2,3.8,11.2,83.7,Sheet1
2,3.9,11,86.3,Sheet1
2,4,10.8,89,Sheet1
3,0,0,0,Sheet2
3,0.1,0,1.1,Sheet2
3,0.2,0,2.1,Sheet2
3,0.3,0,3.5,Sheet2
3,0.4,0.1,5.2,Sheet2
3,0.5,0.2,7.1,Sheet2
3,0.6,0.7,9.2,Sheet2
3,0.7,1.7,11.6,Sheet2
3,0.8,3.4,14.1,Sheet2
3,0.9,5.7,16.7,Sheet2
3,1,8.2,19.5,Sheet2
3,1.1,10.8,22.4,Sheet2
3,1.2,13.1,25.3,Sheet2
3,1.3,15,28.4,Sheet2
3,1.4,16.4,31.6,Sheet2
3,1.5,17.4,34.8,Sheet2
3,1.6,18,38.1,Sheet2
3,1.7,18.4,41.4,Sheet2
3,1.8,18.5,44.9,Sheet2
3,1.9,18.4,48.4,Sheet2
3,2,18.2,51.9,Sheet2
3,2.1,17.9,55.5,Sheet2
3,2.2,17.5,59.1,Sheet2
3,2.3,17.1,62.8,Sheet2
3,2.4,16.6,66.5,Sheet2
3,2.5,16,70.2,Sheet2
3,2.6,15.4,74,Sheet2
3,2.7,14.8,77.6,Sheet2
3,2.8,14.3,81.3,Sheet2
3,2.9,13.8,85.1,Sheet2
3,3,13.4,88.8,Sheet2
3,3.1,13,92.7,Sheet2
3,3.2,12.7,96.6,Sheet2
3,3.3,12.3,100.4,Sheet2
3,3.4,12,104.2,Sheet2
3,3.5,11.7,107.7,Sheet2
3,3.6,11.5,111.5,Sheet2
3,3.7,11.3,115.3,Sheet2
3,3.8,11.1,119.2,Sheet2
3,3.9,10.9,123,Sheet2
3,4,10.8,127,Sheet2
4,0,0,0,Sheet3
4,0.1,0.2,6.4,Sheet3
4,0.2,0.5,8.2,Sheet3
4,0.3,1,10.6,Sheet3
4,0.4,2.1,12.9,Sheet3
4,0.5,3.9,15.5,Sheet3
4,0.6,6.2,18.3,Sheet3
4,0.7,9,21.1,Sheet3
4,0.8,11.5,24.1,Sheet3
4,0.9,13.8,27.2,Sheet3
4,1,15.7,30.5,Sheet3
4,1.1,17.1,33.7,Sheet3
4,1.2,18.1,37.1,Sheet3
4,1.3,18.8,40.6,Sheet3
4,1.4,19.1,44,Sheet3
4,1.5,19.2,47.6,Sheet3
4,1.6,19.2,51.2,Sheet3
4,1.7,19.1,54.9,Sheet3
4,1.8,18.8,58.6,Sheet3
4,1.9,18.5,62.4,Sheet3
4,2,18,66.1,Sheet3
4,2.1,17.5,70,Sheet3
4,2.2,16.9,73.8,Sheet3
4,2.3,16.3,77.7,Sheet3
4,2.4,15.8,81.6,Sheet3
4,2.5,15.3,85.5,Sheet3
4,2.6,14.9,89.4,Sheet3
4,2.7,14.3,93.2,Sheet3
4,2.8,14,97.1,Sheet3
4,2.9,13.5,101.1,Sheet3
4,3,13.2,105.1,Sheet3
4,3.1,12.9,109.1,Sheet3
4,3.2,12.6,113,Sheet3
4,3.3,12.4,116.9,Sheet3
4,3.4,12.1,120.9,Sheet3
4,3.5,11.9,124.8,Sheet3
4,3.6,11.7,128.9,Sheet3
4,3.7,11.5,133,Sheet3
4,3.8,11.3,137.1,Sheet3
4,3.9,11.2,141,Sheet3
4,4,11.1,145.2,Sheet3
